"Nom","Pays","Region","Type","Periodicite","Langue","ID","Description","Website","CodeSource","DebutArchives","FinArchives"
"Aargauer Zeitung (website ver.) (1 sources)","Suisse","","Presse","En continu","Allemand","50765",NA,"https://www.aargauerzeitung.ch/","WAAIU","24/04/2024",NA
"ABA Bank Marketing (1 sources)","États-Unis","District de Columbia","Presse","Mensuel ou bimensuel","Anglais","1595","ABA Bank Marketing covers advertising, marketing and public relations in the banking, finance and accounting industries.","http://www.aba.com/products/bankmarketing/pages/default.aspx","GAA","01/01/2004",NA
"ABA Banking Journal (web site ref.) (1 sources)","États-Unis","New York","Presse","Irrégulier","Anglais","44777","Provides a current look at trends, products, and developments in financial services.","https://bankingjournal.aba.com/","WAADI","24/04/2024",NA
"Abanico Veterinario (1 sources)","Mexique","","Presse","Quadrimestriel","Espagnol","29634",NA,"https://abanicoacademico.mx/revistasabanico/index.php/abanico-veterinario","GAAAB","01/05/2015",NA
"ABC (1 sources)","Espagne","","Presse","Quotidien","Espagnol","64406","This source requires a subscription. Full-text content is available for 45 days. After this date, only the title is visible.","http://www.abc.es/","FAXJ","05/05/2014",NA
"ABC (Spain) (sitio web ref.) (1 sources)","Espagne","","Presse","En continu","Espagnol","4824",NA,"http://www.abc.es/","IABC","24/04/2024",NA
"ABC 15 (Phoenix, AZ) (web site ref.) (1 sources)","États-Unis","Arizona","Presse","En continu","Anglais","39753",NA,"https://www.abc15.com/","WAACO","24/04/2024",NA
"ABC Australia (web site ref.) (1 sources)","Australie","","Presse","En continu","Anglais","26435",NA,"http://www.abc.net.au/","CLX","24/04/2024",NA
"ABC Bourse (site web) (1 sources)","France","Normandie","Presse","En continu","Français","37625","ABC Bourse gives financial information and advice for the stock market investor.","https://www.abcbourse.com/","LBAB","10/05/2018",NA
"ABC Color Digital (sitio web ref.) (1 sources)","Paraguay","","Presse","En continu","Espagnol","4904",NA,"http://www.abc.com.py/","IABD","24/04/2024",NA
"ABC News (web site ref.) (1 sources)","États-Unis","New York","Presse","En continu","Anglais","936",NA,"http://abcnews.go.com/","RAB","24/04/2024",NA
"ABC Premium News (Australia) (1 sources)","Australie","","Presse","Irrégulier","Anglais","60711","This source requires a subscription.","https://www.abc.net.au/commercial/","LUPM","07/06/2022",NA
"ABC Sevilla (1 sources)","Espagne","","Presse","Quotidien","Espagnol","64407","This source requires a subscription. Full-text content is available for 45 days. After this date, only the title is visible.","http://sevilla.abc.es/","FAXK","15/12/2023",NA
"Abeille de la Ternoise, L' (1 sources)","France","Hauts-de-France","Presse","Hebdomadaire","Français","63885","This source requires a subscription.","https://labeilledelaternoise.fr/","AEE","30/11/2023","25/01/2024"
"Abhigyan (1 sources)","Inde","","Presse","Bimestriel ou trimestriel","Anglais","29635","Publishes findings from research work and exploration of original ideas concerning organisations and management. Addresses issues of interest to managers and academicians.","https://www.fsm.ac.in/abhigyan","GAAAC","01/01/2015",NA
"Abilene Reflector-Chronicle, The (KS) (web site ref.) (1 sources)","États-Unis","Kansas","Presse","Irrégulier","Anglais","45977","The Abilene Reflector-Chronicle is a local daily newspaper for Abilene, Kansas. T","http://www.abilene-rc.com/","WAADJ","24/04/2024",NA
"Abilene Reporter-News (TX) (web site ref.) (1 sources)","États-Unis","Texas","Presse","Irrégulier","Anglais","45978","Daily newspaper serving Abilene area in Texas. Abilene Reporter-News that provides an accurate image of its community represents a source of local news.","http://www.reporternews.com/","WAADK","24/04/2024",NA
"Abington Journal, The (Clarks Summit, PA) (web site ref.) (1 sources)","États-Unis","Pennsylvanie","Presse","Irrégulier","Anglais","44778",NA,"http://www.theabingtonjournal.com/","WAADL","30/04/2024",NA
"ABN Newswire (1 sources)","Australie","","Presse","Quotidien","Anglais","6464","ABN Newswire was created in 2005 to offer companies in Australia and the Asia region a press release pipeline to overseas stakeholders, and an electronic network for broadcasting important corporate information to local and foreign media. Today, ABN Newswire is the globally recognized press release distributor from the region, in simplified and traditional Chinese, Korean, Arabic, German and Japanese as well as English. ABN distributes and publishes company press release information for efficient real-time delivery to major websites, databases and professional information terminals around the world","http://www.abnnewswire.net/","SABN","20/05/2014",NA
"Aboriginal Peoples Television Network (APTN) (1 sources)","Canada","Manitoba","Télévision et radio","En continu","Anglais","8310","The creation of Aboriginal Peoples Television Network (APTN) can be traced back as far as 1980. APTN offers a variety of programming related to Aboriginal peoples, including documentaries, news magazines, dramas, entertainment specials, children's series, movies, sports events, educational programs and more. APTN's network programming is approximately 56% English, 16% French, and 28% Aboriginal languages.This source is subject to restrictions.","http://aptn.ca/","XFJ","14/09/2023",NA
"Aboriginal Peoples Television Network (web site ref.) (1 sources)","Canada","Manitoba","Presse","Irrégulier","Anglais","36626","Website of TV channel Aboriginal Peoples Television Network (APTN). It offers a variety of programming related to Aboriginal peoples, including documentaries, news magazines, dramas, entertainment specials, children's series, movies, sports events, educational programs and more. APTN's network programming is approximately 56% English, 16% French, and 28% Aboriginal languages.","http://aptnnews.ca/","WAABJ","24/04/2024",NA
"Above The Law (web site ref.) (1 sources)","États-Unis","New York","Presse","Irrégulier","Anglais","44780","The site provides news and insights about the powerful institutions, as well as original commentary on breaking legal developments.","http://abovethelaw.com/","WAADN","24/04/2024",NA
"Acadie Nouvelle (1 sources)","Canada","Nouveau-Brunswick","Presse","Quotidien","Français","149","L'Acadie Nouvelle has been published for fifteen years in Caraquet, in the Acadian peninsula. ""The francophone's daily in New Brunswick"" is published six days a week. L'Acadie Nouvelle has an average circulation of 36,204 copies (2014). Monday paper edition will only be available in digital version from July 2022. It is the only French-language daily published in the Maritimes.","http://www.acadienouvelle.com/","AN","02/07/1999","06/01/2006"
"Acadie Nouvelle (site web) (1 sources)","Canada","Nouveau-Brunswick","Presse","En continu","Français","34540","L'Acadie Nouvelle has been published for fifteen years in Caraquet, in the Acadian peninsula. It is the only French-language daily published in the Maritimes.","https://www.acadienouvelle.com/","ANW","25/02/2018",NA
"Accès Laurentides (QC) (site web réf.) (1 sources)","Canada","Québec","Presse","Hebdomadaire","Français","8921","Website of L'Accès, independant newspaper serving Laurentides area in Quebec.","http://www.journalacces.ca/","CQH","24/04/2024",NA
"Access Magazine (1 sources)","États-Unis","Illinois","Presse","Bimestriel ou trimestriel","Anglais","29636","This publication focuses on health and health practice news, professional issues, and legislative developments.","http://www.adha.org/access-magazine","GAAAD","01/01/2015",NA
"ACCESSWIRE (1 sources)","Canada","Alberta","Presse","Quotidien","Anglais","5750","This source requires a subscription. Full-text content is available for 45 days. After this date, only the title is visible.","https://www.fscwire.com/","FSC","28/07/2014",NA
"Accounting Today (1 sources)","États-Unis","New York","Presse","Mensuel ou bimensuel","Anglais","10391","Accounting Today provides news and analysis about developments and trends in the industry, with a focus on the top growth niches and management. This source requires a subscription.","http://www.accountingtoday.com/","QAAAC","11/01/2021",NA
"Accounting Today (web site ref.) (1 sources)","États-Unis","New York","Presse","En continu","Anglais","47704","Accounting Today provides news and analysis about developments and trends in the industry, with a focus on the top growth niches and management.","https://www.accountingtoday.com/","WAAHY","24/04/2024",NA
"Acontecer, El (sitio web ref.) (1 sources)","Uruguay","","Presse","En continu","Espagnol","5042",NA,"http://www.elacontecer.com.uy/","IACO","24/04/2024",NA
"Acta Académica (1 sources)","Costa Rica","","Presse","Semestriel","Espagnol","29637",NA,"http://www.uaca.ac.cr/actas-academicas/","GAAAF","01/05/2015",NA
"Acta Agronomica (1 sources)","Colombie","","Presse","Bimestriel ou trimestriel","Espagnol","52624",NA,"https://revistas.unal.edu.co/index.php/acta_agronomica","GAAHT","01/06/2006",NA
"Acta Bioethica (1 sources)","Chili","","Presse","Semestriel","Espagnol","29638",NA,"https://actabioethica.uchile.cl/","GAAAG","01/06/2015",NA
"Acta Biomedica Brasiliensia (1 sources)","Brésil","","Presse","Bimestriel ou trimestriel","Portugais","34967","E uma Revista Eletrônica que tem como objetivo difundir os resultados das atividades de pesquisa científica e a sua indissociabilidade com o ensino e a extensão.","http://www.actabiomedica.com.br/index.php/acta/index","GABAS","01/07/2013",NA
"Acta Botánica Mexicana (1 sources)","Mexique","","Presse","Bimestriel ou trimestriel","Espagnol","29639",NA,"http://abm.ojs.inecol.mx/index.php/abm","GAAAH","01/01/2015",NA
"Acta Clinica Croatica (1 sources)","Croatie","","Presse","Bimestriel ou trimestriel","Anglais","32767","An internationally peer reviewed general medical journal open to physicians and scientists from the field of biomedicine.","http://hrcak.srce.hr/acta-clinica-croatica","GABAA","01/11/2016",NA
"Acta Colombiana de Psicología (1 sources)","Colombie","","Presse","Semestriel","Anglais","34968","Publica resultados originales de investigación en psicología con el propósito de difundir información sobre nuevos desarrollos y sus aplicaciones en diferentes campos.","https://actacolombianapsicologia.ucatolica.edu.co/","GABAT","01/07/2006",NA
"Acta Commercii (1 sources)","Afrique du Sud","","Presse","Annuel","Anglais","29640","This journal seeks to promote research within the ambit of management and related disciplines. It serves as a platform for refreshingly new and invigorating approaches to, and findings of, research relating to management and associated disciplines.","http://www.actacommercii.co.za/index.php/acta","GAAAI","01/01/2015",NA
"Acta Dermatovenerol APA (1 sources)","Slovénie","","Presse","Bimestriel ou trimestriel","Anglais","29641","Publishes papers describing all aspects of research in dermatology and venereology.","http://www.acta-apa.org/","GAAAJ","01/01/2015",NA
"Acta Endoscopica (1 sources)","France","Ile-de-France","Presse","Bimestriel ou trimestriel","Français","23714","The official journal of the Société française d’endoscopie digestive (SFED), French society of digestive endoscopy. Focussed on training and continuing education, the journal presents special features on topics of interest, original articles on equipment and supplies, exams and cases selected to further the knowledge and improve the practice of medical professionals working in that field.","http://www.sfed.org/professionnels/actualites-pro/acta-endoscopica-votre-revue-de-formation-continue","VAC","01/02/2015","01/02/2015"
"Acta Geodynamica et Geromaterialia (1 sources)","République tchèque","","Presse","Bimestriel ou trimestriel","Anglais","29642","Provides information on geophysics, geodynamics, geomechanics, geology, geodesy, materials engineering and mineral raw materials processing.","https://www.irsm.cas.cz/","GAAAK","01/01/2015",NA
"Acta Historica Tallinnensia (1 sources)","Estonie","","Presse","Annuel","Anglais","29643","Covers any aspect of history.","http://www.kirj.ee/historica","GAAAL","01/01/2015",NA
"Acta Literaria (1 sources)","Chili","","Presse","Annuel","Espagnol","29644",NA,"https://revistasacademicas.udec.cl/index.php/acta_literaria/index","GAAAM","01/01/2015",NA
"Acta Médica Colombiana (1 sources)","Colombie","","Presse","Bimestriel ou trimestriel","Espagnol","29645",NA,"http://www.actamedicacolombiana.com/ojs/index.php/actamed","GAAAN","01/01/2015",NA
"Acta Palaeontologica Polonica (1 sources)","Pologne","","Presse","Bimestriel ou trimestriel","Anglais","29646","Covers all areas of paleontology, including modern paleontology and biologically oriented paleontology, including in-depth studies of all kinds of fossils, of the mode of life of ancient organisms and structure of their skeletons.","http://www.app.pan.pl/home.html","GAAAO","01/03/2015",NA
"Acta Scientiarum. Agronomy (1 sources)","Brésil","","Presse","Bimestriel ou trimestriel","Portugais","29647",NA,"http://www.periodicos.uem.br/ojs/index.php/actasciagron/index","GAAAP","01/01/2015",NA
"Acta Scientiarum. Animal Sciences (1 sources)","Brésil","","Presse","Bimestriel ou trimestriel","Anglais","29648",NA,"https://periodicos.uem.br/ojs/index.php/ActaSciAnimSci/index","GAAAQ","01/01/2015",NA
"Acta Scientiarum. Biological Sciences (1 sources)","Brésil","","Presse","Bimestriel ou trimestriel","Portugais","29649",NA,"http://www.periodicos.uem.br/ojs/index.php/ActaSciBiolSci/index","GAAAR","01/01/2015",NA
"Acta Scientiarum. Education (1 sources)","Brésil","","Presse","Semestriel","Portugais","29650",NA,"http://www.periodicos.uem.br/ojs/index.php/ActaSciEduc","GAAAS","01/01/2015",NA
"Acta Scientiarum. Health Sciences (1 sources)","Brésil","","Presse","Bimestriel ou trimestriel","Portugais","29651",NA,"http://www.periodicos.uem.br/ojs/index.php/ActaSciHealthSci/index","GAAAT","01/01/2015",NA
"Acta Scientiarum. Human and Social Sciences (1 sources)","Brésil","","Presse","Quadrimestriel","Portugais","29652",NA,"http://periodicos.uem.br/ojs/index.php/ActaSciHumanSocSci","GAAAU","01/01/2015",NA
"Acta Scientiarum. Language and Culture (1 sources)","Brésil","","Presse","Bimestriel ou trimestriel","Portugais","29653",NA,"http://www.periodicos.uem.br/ojs/index.php/ActaSciLangCult/index","GAAAV","01/01/2015",NA
"Acta Scientiarum. Technology (1 sources)","Brésil","","Presse","Bimestriel ou trimestriel","Portugais","29654",NA,"http://www.periodicos.uem.br/ojs/index.php/ActaSciTechnol/index","GAAAW","01/01/2015",NA
"Acta Stomatologica Croatica (1 sources)","Croatie","","Presse","Bimestriel ou trimestriel","Anglais","29655","Covers the field of dental, oral and cranio-facial sciences during the past 40 years in Croatia. Publishes original scientific and clinical papers, preliminary communications, case reports, book reviews, letters to the editor and news.","http://www.ascro.hr/","GAAAX","01/06/2015",NA
"Acta Zoologica Mexicana (1 sources)","Mexique","","Presse","Bimestriel ou trimestriel","Espagnol","29656",NA,"https://azm.ojs.inecol.mx/index.php/azm","GAAAY","01/01/2015",NA
"Acteurs Publics – Biographies (archives) (1 sources)","France","","Répertoires et références","Quotidien","Français","5318","Profiles of more than 7000 French political figures.","http://www.acteurspublics.com/biographies","SEP","05/05/2011",NA
"Acteurs Publics - Nominations (site web) (1 sources)","France","","Presse","En continu","Français","2145","Acteurs Publics's editors hunt down and analyze the political news from behind the scene to ""say everything in the least amount of words"". Week after week, it summarizes the issues of the political world. Its readership is made of ministry's staff, decision-makers from the public service, elected officials, parliamentarians, and leaders (unions, associations, professionals).","http://www.acteurspublics.com/nominations","SEB","31/10/2007",NA
"Acteurs Publics (site web) (1 sources)","France","","Presse","En continu","Français","2144","Each day, Acteurs publics deciphers, analyzes and comments public life at the heart of the government and behind the scene, in the worlds of unions, associations and non-governmental organizations.","http://www.acteurspublics.com/","SEA","01/10/2007",NA
"Action Co (1 sources)","France","Ile-de-France","Presse","Bimestriel ou trimestriel","Français","24745","Action Commerciale is a magazine for business manager, marketing directors, sale managers and team managers. The magazine offers insights on news, trends and result –oriented commercial strategies. It uses case studies to help understand frequent business issues.","http://www.actionco.fr/","EAC","01/04/2016","01/04/2016"
"Action Co (site web) (1 sources)","France","Ile-de-France","Presse","En continu","Français","24689","Website of Action Commerciale, a monthly magazine for business manager, marketing directors, sale managers and team managers. It offers insights on news, trends and result –oriented commercial strategies. It uses case studies to help understand frequent business issues.","http://www.actionco.fr/","EACW","26/10/2015",NA
"Action D'Autray, L' (Berthierville, QC) (1 sources)","Canada","Québec","Presse","Hebdomadaire","Français","1418","Weekly newspaper serving D'Autray Regional County Municipality in Lanaudière Region. L'Action d'Autray (formerly L'Écho d'Autray) that provides an accurate image of its community is often the best and sometimes the only source of local news.","http://www.lactiondautray.com/","JS","15/02/2004","13/08/2006"
"Action D'Autray, L' (Berthierville, QC) (site web) (1 sources)","Canada","Québec","Presse","En continu","Français","18877","Weekly newspaper serving D'Autray Regional County Municipality in Lanaudière Region. L'Action d'Autray (formerly L'Écho d'Autray) that provides an accurate image of its community is often the best and sometimes the only source of local news.","http://www.lactiondautray.com/","WJS","15/11/2014",NA
